State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alaska,0.157,0.167,0.177,0.188,0.198,0.209,0.2177,0.2263,0.235,0.235,0.249,0.258,0.273,0.272,0.269,0.259,0.274,0.257,0.284,0.297,0.298,0.314,0.342,0.295,0.305
North Carolina,0.163,0.172,0.181,0.19,0.199,0.209,0.2193,0.2297,0.24,0.239,0.247,0.256,0.271,0.283,0.294,0.294,0.291,0.296,0.294,0.297,0.301,0.318,0.321,0.33,0.34
Alabama,0.157,0.17,0.184,0.198,0.212,0.226,0.2453,0.2647,0.284,0.277,0.287,0.294,0.301,0.312,0.316,0.323,0.32,0.33,0.324,0.335,0.356,0.357,0.363,0.362,0.361
North Dakota,0.152,0.162,0.173,0.183,0.194,0.205,0.2157,0.2263,0.237,0.239,0.246,0.251,0.259,0.267,0.277,0.28,0.278,0.297,0.31,0.322,0.31,0.319,0.332,0.351,0.348
Arkansas,0.17,0.179,0.189,0.199,0.209,0.219,0.23,0.241,0.252,0.25,0.264,0.27,0.281,0.286,0.301,0.306,0.309,0.345,0.346,0.359,0.345,0.357,0.35,0.371,0.374
Nebraska,0.152,0.161,0.171,0.181,0.191,0.201,0.2137,0.2263,0.239,0.234,0.244,0.254,0.265,0.269,0.273,0.276,0.284,0.286,0.296,0.302,0.314,0.32,0.328,0.341,0.341
Arizona,0.126,0.13,0.135,0.139,0.144,0.149,0.1663,0.1837,0.201,0.203,0.208,0.217,0.233,0.248,0.258,0.254,0.247,0.26,0.268,0.289,0.284,0.29,0.295,0.295,0.314
New Hampshire,0.129,0.135,0.141,0.148,0.154,0.161,0.1747,0.1883,0.202,0.199,0.217,0.224,0.236,0.241,0.254,0.256,0.262,0.273,0.267,0.274,0.263,0.266,0.281,0.296,0.318
California,0.139,0.148,0.158,0.167,0.177,0.187,0.202,0.217,0.232,0.215,0.227,0.227,0.231,0.236,0.244,0.248,0.238,0.25,0.241,0.247,0.242,0.25,0.251,0.258,0.262
New Jersey,0.123,0.132,0.141,0.151,0.16,0.17,0.1803,0.1907,0.201,0.203,0.214,0.222,0.229,0.234,0.239,0.241,0.237,0.246,0.263,0.269,0.256,0.274,0.273,0.257,0.257
Colorado,0.107,0.114,0.122,0.129,0.137,0.145,0.15,0.155,0.16,0.164,0.169,0.176,0.184,0.189,0.191,0.198,0.207,0.205,0.213,0.213,0.202,0.223,0.226,0.23,0.238
New Mexico,0.116,0.127,0.139,0.15,0.162,0.174,0.1833,0.1927,0.202,0.205,0.212,0.22,0.233,0.246,0.255,0.256,0.263,0.271,0.264,0.284,0.288,0.283,0.284,0.323,0.317
Connecticut,0.118,0.126,0.134,0.143,0.151,0.16,0.1703,0.1807,0.191,0.189,0.196,0.201,0.208,0.213,0.214,0.218,0.245,0.256,0.25,0.263,0.253,0.26,0.269,0.274,0.291
Nevada,0.131,0.136,0.142,0.148,0.154,0.16,0.1773,0.1947,0.212,0.213,0.21,0.225,0.236,0.251,0.256,0.25,0.245,0.262,0.262,0.277,0.267,0.258,0.267,0.295,0.306
Delaware,0.152,0.155,0.159,0.163,0.167,0.171,0.194,0.217,0.24,0.225,0.228,0.236,0.259,0.273,0.279,0.28,0.288,0.269,0.311,0.307,0.297,0.307,0.318,0.335,0.344
New York,0.143,0.148,0.154,0.159,0.165,0.171,0.1837,0.1963,0.209,0.212,0.217,0.224,0.235,0.245,0.251,0.247,0.245,0.236,0.254,0.27,0.25,0.255,0.257,0.276,0.271
Florida,0.143,0.151,0.159,0.167,0.175,0.184,0.189,0.194,0.199,0.207,0.218,0.229,0.233,0.241,0.251,0.261,0.266,0.252,0.264,0.262,0.268,0.274,0.284,0.307,0.27
Ohio,0.161,0.17,0.179,0.188,0.197,0.206,0.2203,0.2347,0.249,0.244,0.249,0.26,0.269,0.286,0.29,0.296,0.296,0.301,0.304,0.326,0.298,0.315,0.338,0.34,0.348
Georgia,0.138,0.151,0.165,0.178,0.192,0.206,0.2213,0.2367,0.252,0.245,0.255,0.261,0.275,0.279,0.281,0.287,0.28,0.291,0.303,0.305,0.307,0.314,0.316,0.325,0.331
Oklahoma,0.129,0.143,0.157,0.172,0.186,0.201,0.2153,0.2297,0.244,0.241,0.254,0.268,0.281,0.295,0.306,0.314,0.311,0.322,0.325,0.33,0.339,0.328,0.365,0.348,0.368
Hawaii,0.106,0.116,0.126,0.136,0.146,0.157,0.1593,0.1617,0.164,0.173,0.182,0.201,0.207,0.218,0.226,0.231,0.218,0.236,0.218,0.221,0.227,0.238,0.238,0.249,0.25
Oregon,0.136,0.148,0.161,0.173,0.186,0.199,0.2043,0.2097,0.215,0.21,0.222,0.233,0.25,0.254,0.25,0.254,0.267,0.273,0.265,0.279,0.301,0.287,0.294,0.299,0.29
Iowa,0.162,0.171,0.18,0.19,0.199,0.209,0.219,0.229,0.239,0.234,0.243,0.249,0.263,0.267,0.276,0.281,0.29,0.304,0.313,0.309,0.321,0.32,0.364,0.353,0.339
Pennsylvania,0.162,0.17,0.178,0.186,0.194,0.203,0.2147,0.2263,0.238,0.24,0.245,0.245,0.257,0.267,0.281,0.285,0.286,0.291,0.3,0.302,0.3,0.303,0.316,0.309,0.332
Idaho,0.141,0.149,0.158,0.166,0.175,0.184,0.1953,0.2067,0.218,0.209,0.224,0.232,0.246,0.248,0.251,0.257,0.27,0.268,0.296,0.289,0.286,0.274,0.293,0.284,0.295
Rhode Island,0.128,0.136,0.144,0.152,0.16,0.169,0.174,0.179,0.184,0.186,0.195,0.205,0.214,0.217,0.229,0.243,0.254,0.257,0.273,0.27,0.26,0.266,0.3,0.277,0.3
Illinois,0.153,0.163,0.173,0.183,0.193,0.204,0.2133,0.2227,0.232,0.229,0.239,0.244,0.253,0.259,0.266,0.277,0.271,0.281,0.294,0.293,0.308,0.316,0.311,0.318,0.316
South Carolina,0.166,0.175,0.184,0.193,0.202,0.211,0.2223,0.2337,0.245,0.251,0.262,0.278,0.292,0.297,0.299,0.309,0.308,0.316,0.317,0.321,0.317,0.323,0.341,0.343,0.354
Indiana,0.183,0.187,0.191,0.196,0.2,0.205,0.2233,0.2417,0.26,0.252,0.262,0.268,0.275,0.274,0.281,0.291,0.308,0.314,0.318,0.327,0.313,0.325,0.336,0.341,0.353
South Dakota,0.145,0.152,0.16,0.168,0.176,0.184,0.199,0.214,0.229,0.226,0.24,0.249,0.261,0.269,0.285,0.287,0.281,0.281,0.299,0.298,0.304,0.296,0.319,0.301,0.33
Kansas,0.135,0.146,0.157,0.168,0.179,0.191,0.2027,0.2143,0.226,0.229,0.232,0.243,0.258,0.272,0.282,0.29,0.296,0.299,0.3,0.313,0.342,0.312,0.324,0.344,0.352
Tennessee,0.164,0.173,0.182,0.191,0.2,0.209,0.2227,0.2363,0.25,0.256,0.266,0.278,0.29,0.302,0.316,0.319,0.292,0.311,0.337,0.312,0.338,0.348,0.328,0.344,0.365
Kentucky,0.166,0.176,0.186,0.196,0.206,0.217,0.23,0.243,0.256,0.253,0.267,0.275,0.284,0.29,0.305,0.315,0.304,0.313,0.332,0.316,0.346,0.342,0.343,0.366,0.365
Texas,0.16,0.171,0.182,0.194,0.205,0.217,0.2267,0.2363,0.246,0.253,0.258,0.263,0.272,0.279,0.29,0.301,0.304,0.292,0.309,0.319,0.324,0.337,0.33,0.348,0.34
Louisiana,0.17,0.181,0.192,0.203,0.214,0.226,0.2333,0.2407,0.248,0.258,0.274,0.282,0.295,0.289,0.312,0.316,0.334,0.347,0.331,0.349,0.362,0.355,0.362,0.368,0.359
Utah,0.12,0.13,0.141,0.151,0.162,0.173,0.1847,0.1963,0.208,0.196,0.208,0.211,0.218,0.225,0.232,0.234,0.244,0.243,0.241,0.257,0.245,0.254,0.253,0.278,0.292
